lsl_ts,recv_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,marker,trial_index,session_id
26341.523822200004,1779031930.6729712,-129292.859375,-129445.703125,-129303.4140625,-130037.7109375,-129516.4453125,-129456.140625,-129404.9140625,-129525.71875,,,019e3690-f645-761b-925e-75f7c656582e
26341.527822200005,1779031930.673128,-129241.453125,-129387.5625,-129307.7734375,-130354.34375,-129540.5859375,-129533.390625,-129405.421875,-129522.8359375,,,019e3690-f645-761b-925e-75f7c656582e
26341.531822200006,1779031930.6731443,-129181.796875,-129331.21875,-129287.4765625,-130287.2421875,-129488.0390625,-129624.765625,-129395.90625,-129514.453125,,,019e3690-f645-761b-925e-75f7c656582e
26341.535822200007,1779031930.6731548,-129150.4375,-129309.890625,-129251.84375,-130226.09375,-129390.5859375,-129899.0859375,-129385.5546875,-129509.0,,,019e3690-f645-761b-925e-75f7c656582e
26341.558108,1779031930.6731648,-129146.4140625,-129314.921875,-129262.4609375,-130193.859375,-129358.6171875,-130024.65625,-129387.0703125,-129510.96875,,,019e3690-f645-761b-925e-75f7c656582e
26341.562108000002,1779031930.6731746,-129142.65625,-129317.046875,-129274.578125,-130153.984375,-129387.0078125,-129964.640625,-129391.9921875,-129515.4140625,,,019e3690-f645-761b-925e-75f7c656582e
26341.566108000003,1779031930.6731842,-129120.0390625,-129296.4375,-129262.3046875,-130087.3515625,-129452.6796875,-129871.7734375,-129397.0625,-129518.8125,,,019e3690-f645-761b-925e-75f7c656582e
26341.570108000004,1779031930.6731937,-129072.8984375,-129267.0,-129253.7890625,-130012.03125,-129421.875,-129773.46875,-129391.9921875,-129514.4140625,,,019e3690-f645-761b-925e-75f7c656582e
26341.574108000004,1779031930.6732025,-129104.953125,-129254.8203125,-129253.1171875,-129961.78125,-129389.3984375,-129705.2265625,-129389.484375,-129515.0625,,,019e3690-f645-761b-925e-75f7c656582e
26341.578108000005,1779031930.673212,-129304.7734375,-129254.484375,-129260.9453125,-129924.5625,-129375.046875,-129649.4375,-129396.7109375,-129520.0703125,,,019e3690-f645-761b-925e-75f7c656582e
26341.582108000006,1779031930.6732213,-129340.9609375,-129256.4921875,-129271.8046875,-129886.2109375,-129393.3984375,-129590.515625,-129396.9765625,-129519.7734375,,,019e3690-f645-761b-925e-75f7c656582e
26341.586108000007,1779031930.673231,-129318.859375,-129198.0234375,-129268.3203125,-129821.546875,-129458.1953125,-129502.140625,-129400.75,-129524.0234375,,,019e3690-f645-761b-925e-75f7c656582e
26341.590108000008,1779031930.67324,-129277.6171875,-129025.46875,-129266.421875,-129737.9296875,-129439.15625,-129376.59375,-129398.0234375,-129521.2265625,,,019e3690-f645-761b-925e-75f7c656582e
26341.59410800001,1779031930.6732492,-129240.8046875,-129168.6328125,-129271.515625,-129673.3359375,-129447.578125,-129142.3203125,-129392.171875,-129519.8671875,,,019e3690-f645-761b-925e-75f7c656582e
26341.6036837,1779031930.6732583,-129199.1171875,-129425.2734375,-129267.3828125,-129606.03125,-129461.125,-129120.2578125,-129396.9296875,-129523.1484375,,,019e3690-f645-761b-925e-75f7c656582e
26341.6076837,1779031930.6732671,-129155.484375,-129800.3125,-129267.3125,-129505.3125,-129477.890625,-129233.1171875,-129400.796875,-129524.46875,,,019e3690-f645-761b-925e-75f7c656582e
26341.6116837,1779031930.6732764,-129073.59375,-129913.7890625,-129340.5625,-129213.734375,-129556.0546875,-129312.53125,-129407.03125,-129525.4296875,,,019e3690-f645-761b-925e-75f7c656582e
26341.6156837,1779031930.6732855,-129052.4453125,-129819.8515625,-129345.09375,-129202.71875,-129595.75,-129346.5078125,-129402.2265625,-129520.0703125,,,019e3690-f645-761b-925e-75f7c656582e
26341.619683700002,1779031930.6732943,-129226.140625,-129745.640625,-129296.5078125,-129449.8828125,-129504.3984375,-129417.921875,-129386.0,-129509.8515625,,,019e3690-f645-761b-925e-75f7c656582e
26341.623683700003,1779031930.673303,-129263.8046875,-129693.4921875,-129279.3359375,-129745.5078125,-129478.3359375,-129517.203125,-129383.7421875,-129509.8515625,,,019e3690-f645-761b-925e-75f7c656582e
26341.627683700004,1779031930.6733117,-129208.484375,-129643.4453125,-129276.8359375,-130204.0078125,-129472.4609375,-129620.5625,-129381.0390625,-129504.421875,,,019e3690-f645-761b-925e-75f7c656582e
26341.631683700005,1779031930.6733212,-129158.8203125,-129595.5703125,-129269.234375,-130354.140625,-129474.2421875,-129846.8046875,-129379.40625,-129500.53125,,,019e3690-f645-761b-925e-75f7c656582e
26341.635683700006,1779031930.6733367,-129121.515625,-129559.40625,-129240.9609375,-130275.84375,-129405.890625,-129948.8203125,-129371.1171875,-129495.6796875,,,019e3690-f645-761b-925e-75f7c656582e
26341.639683700007,1779031930.6733458,-129110.4453125,-129557.4375,-129236.1328125,-130234.15625,-129338.34375,-129894.34375,-129372.859375,-129492.015625,,,019e3690-f645-761b-925e-75f7c656582e
26341.623086,1779031930.6733549,-129112.4609375,-129568.3671875,-129258.84375,-130207.3359375,-129345.2109375,-129848.2109375,-129384.4375,-129499.3671875,,,019e3690-f645-761b-925e-75f7c656582e
26341.627086,1779031930.6733634,-129109.7578125,-129570.359375,-129271.2265625,-130168.9609375,-129369.5078125,-129788.15625,-129382.421875,-129503.4609375,,,019e3690-f645-761b-925e-75f7c656582e
26341.631086,1779031930.6733725,-129075.46875,-129551.515625,-129259.9140625,-130103.578125,-129435.0859375,-129699.7109375,-129377.953125,-129504.78125,,,019e3690-f645-761b-925e-75f7c656582e
26341.635086000002,1779031930.6733809,-129067.84375,-129512.2421875,-129242.390625,-130019.046875,-129443.2890625,-129592.28125,-129376.6796875,-129502.2734375,,,019e3690-f645-761b-925e-75f7c656582e
26341.639086000003,1779031930.6733892,-129267.15625,-129493.515625,-129249.921875,-129963.390625,-129378.2890625,-129518.3046875,-129374.375,-129498.4765625,,,019e3690-f645-761b-925e-75f7c656582e
26341.643086000004,1779031930.673398,-129334.546875,-129499.2109375,-129263.1796875,-129933.0625,-129343.8203125,-129471.671875,-129384.078125,-129502.5625,,,019e3690-f645-761b-925e-75f7c656582e
26341.647086000004,1779031930.6734066,-129332.15625,-129502.0703125,-129275.0234375,-129895.7578125,-129364.453125,-129412.6875,-129383.6328125,-129504.5078125,,,019e3690-f645-761b-925e-75f7c656582e
26341.651086000005,1779031930.6734161,-129308.796875,-129480.6171875,-129262.0859375,-129829.75,-129460.8359375,-129204.640625,-129385.1328125,-129509.9375,,,019e3690-f645-761b-925e-75f7c656582e
26341.655086000006,1779031930.7979167,-129263.4453125,-129438.1484375,-129245.4765625,-129741.7265625,-129460.8359375,-129052.0859375,-129380.5,-129503.796875,,,019e3690-f645-761b-925e-75f7c656582e
26341.659086000007,1779031930.7979462,-129227.3515625,-129411.5078125,-129245.8125,-129677.578125,-129410.2109375,-129168.5625,-129377.5078125,-129501.8984375,,,019e3690-f645-761b-925e-75f7c656582e
26341.6711007,1779031930.7979574,-129201.6015625,-129395.3203125,-129246.859375,-129625.6328125,-129402.40625,-129311.6796875,-129379.09375,-129503.5703125,,,019e3690-f645-761b-925e-75f7c656582e
26341.675100700002,1779031930.7980158,-129170.890625,-129371.3125,-129245.4296875,-129561.28125,-129442.5078125,-129439.7109375,-129381.109375,-129505.7578125,,,019e3690-f645-761b-925e-75f7c656582e
26341.679100700003,1779031930.7980766,-129110.09375,-129320.84375,-129290.2890625,-129344.2734375,-129528.0,-129526.8828125,-129388.4140625,-129505.0234375,,,019e3690-f645-761b-925e-75f7c656582e
26341.683100700004,1779031930.7981038,-129016.4375,-129204.171875,-129329.8515625,-129138.1015625,-129571.6328125,-129573.1484375,-129386.046875,-129502.09375,,,019e3690-f645-761b-925e-75f7c656582e
26341.687100700005,1779031930.7981489,-129107.875,-128967.2421875,-129301.984375,-129336.625,-129525.4765625,-129647.8515625,-129379.609375,-129498.5859375,,,019e3690-f645-761b-925e-75f7c656582e
26341.691100700005,1779031930.7981918,-129256.515625,-129032.375,-129271.40625,-129598.859375,-129470.984375,-129878.8125,-129372.0078125,-129492.8671875,,,019e3690-f645-761b-925e-75f7c656582e
26341.695100700006,1779031930.7982404,-129244.0234375,-129253.03125,-129259.84375,-129994.4140625,-129448.2265625,-129945.265625,-129369.953125,-129490.4921875,,,019e3690-f645-761b-925e-75f7c656582e
