lsl_ts,recv_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,marker,trial_index,session_id
11032.0440126,1779367018.000517,154550.78125,88316.96875,156979.515625,99044.0703125,123307.3359375,147459.6875,125680.4140625,133402.234375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.0480126,1779367018.000681,154398.15625,88463.5546875,156831.46875,99070.7578125,123139.2890625,147376.8125,125532.7578125,133425.296875,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.052012600001,1779367018.0006933,154125.375,88569.3671875,156569.8125,99063.515625,122831.9140625,147206.078125,125269.90625,133419.125,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.056012600002,1779367018.0007026,154116.53125,88233.015625,156564.984375,98931.546875,122850.953125,147156.203125,125269.5,133278.84375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.060012600003,1779367018.0007129,154423.375,88063.234375,156863.78125,98906.0703125,123202.9921875,147339.65625,125569.5078125,133265.296875,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.064012600003,1779367018.0007217,154556.8125,88329.1796875,156990.921875,99055.8671875,123321.1484375,147456.609375,125693.828125,133424.359375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.068012600004,1779367018.0007312,154409.96875,88478.9765625,156845.953125,99085.5078125,123156.0546875,147406.3125,125548.71875,133448.09375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.072012600005,1779367018.0007427,154128.734375,88567.359375,156569.140625,99060.4296875,122834.0546875,147208.90625,125269.1015625,133413.625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.076012600006,1779367018.0007522,154122.828125,88231.6796875,156566.859375,98928.734375,122853.7734375,147154.1875,125271.6484375,133275.765625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.080012600007,1779367018.000761,154421.90625,88054.1171875,156860.15625,98896.9453125,123201.25,147338.1875,125567.09375,133256.578125,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.0671464,1779367018.0007699,154549.296875,88315.2265625,156982.0625,99043.9296875,123312.6953125,147462.5,125684.4375,133410.140625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.071146400001,1779367018.0007782,154401.515625,88467.84375,156837.09375,99076.65625,123143.046875,147388.078125,125537.9921875,133441.65625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.075146400002,1779367018.000787,154120.828125,88554.6171875,156564.453125,99049.96875,122823.4609375,147197.90625,125261.3203125,133409.203125,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.079146400003,1779367018.0007956,154120.28125,88225.9140625,156570.34375,98925.375,122850.953125,147147.484375,125271.109375,133276.4375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.083146400004,1779367018.0008047,154437.453125,88058.40625,156882.953125,98904.859375,123219.890625,147333.484375,125585.3359375,133266.375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.087146400005,1779367018.0008125,154566.203125,88321.53125,157008.75,99053.1875,123334.828125,147461.828125,125706.296875,133419.390625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.091146400006,1779367018.0008209,154401.515625,88459.796875,156844.34375,99070.7578125,123149.6171875,147376.0,125540.9453125,133433.484375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.095146400006,1779367018.0008292,154111.4375,88541.3359375,156561.5,99037.09375,122820.109375,147181.0,125253.9453125,133398.203125,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.099146400007,1779367018.0008378,154106.0625,88214.515625,156561.359375,98913.3125,122840.8984375,147139.03125,125259.1796875,133266.640625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.103146400008,1779367018.0008461,154413.859375,88042.1796875,156863.78125,98889.03125,123197.765625,147330.9375,125564.8125,133251.75,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.1125052,1779367018.0008545,154553.328125,88318.4453125,156999.234375,99049.8359375,123323.6953125,147468.8125,125695.8359375,133418.859375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.116505200001,1779367018.0008628,154394.40625,88452.5546875,156840.046875,99065.65625,123144.7890625,147376.546875,125534.640625,133428.375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.120505200002,1779367018.000871,154109.421875,88544.2890625,156564.71875,99042.4609375,122821.1796875,147188.65625,125256.2265625,133404.375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.124505200003,1779367018.0008793,154108.34375,88234.359375,156570.34375,98934.765625,122848.0,147155.125,125267.4921875,133291.859375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.128505200004,1779367018.0008903,154420.296875,88061.09375,156874.515625,98909.8203125,123206.078125,147341.265625,125573.6640625,133276.171875,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.132505200005,1779367018.0008988,154557.75,88325.6875,157006.609375,99060.0234375,123328.5234375,147469.34375,125701.3359375,133433.34375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.136505200006,1779367018.0009074,154399.90625,88463.8203125,156848.5,99079.3359375,123149.3515625,147388.34375,125541.609375,133444.34375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.140505200006,1779367018.0009177,154113.984375,88559.578125,156569.8125,99053.453125,122825.609375,147194.6875,125261.859375,133411.609375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.144505200007,1779367018.0009305,154098.421875,88230.7421875,156559.75,98924.0390625,122841.5703125,147142.25,125257.8359375,133273.078125,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.148505200008,1779367018.00094,154405.8125,88052.1015625,156863.921875,98904.3203125,123197.359375,147341.265625,125560.7890625,133267.71875,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.1438886,1779367018.0009484,154547.421875,88315.3671875,157001.25,99057.4765625,123319.3984375,147479.9375,125692.7578125,133430.390625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.1478886,1779367018.000958,154410.765625,88476.1640625,156864.984375,99095.6953125,123162.625,147427.5,125558.78125,133465.9375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.151888600001,1779367018.1202648,154130.203125,88577.6796875,156586.171875,99070.3515625,122845.0546875,147216.953125,125279.2890625,133433.609375,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.155888600002,1779367018.120296,154100.171875,88235.703125,156556.40625,98926.3203125,122842.640625,147142.65625,125253.8125,133279.515625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11032.159888600003,1779367018.1203067,154398.4375,88034.3984375,156852.65625,98890.109375,123185.5625,147330.0,125549.5234375,133253.90625,,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
